Sr. No.,Institute Code,Institute Name,Status,Total Intake,Location,Branch,cutoff
64,3148,"Mahavir Education Trust's Shah & Anchor Kutchhi Engineering College, Mumbai","Un-Aided, Linguistic Minority - Gujarathi(Jain)",600,Mumbai,Cyber Security,83.89
65,3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Un-Aided,300,Mumbai,Comp. Engg.,89.62
66,3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Un-Aided,300,Mumbai,Info Tech.,87.07
67,3188,"Vasantdada Patil Pratishthan's College Of Engineering and Visual Arts, Sion, Mumbai",Un-Aided,300,Mumbai,Artificial Intelligence & Data Sci.,85.02
68,3035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",University Managed (Un-Aided),300,Mumbai,Comp. Engg.,89.48
69,3035,"Usha Mittal Institute of Technology SNDT Women's University, Mumbai",University Managed (Un-Aided),300,Mumbai,Info Tech.,84.63
70,3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Un-Aided,720,Navi Mumbai,Comp. Engg.,92.62
71,3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Un-Aided,720,Navi Mumbai,Info Tech.,89.54
72,3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Un-Aided,720,Navi Mumbai,ETRX & Tel. Comm.,72.9
73,3187,"N.Y.S.S.'s Datta Meghe College of Engineering, Airoli, Navi Mumbai",Un-Aided,720,Navi Mumbai,AI & Data Sci,84.57
74,3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Un-Aided,480,Navi Mumbai,Comp. Engg.,94.08
75,3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Un-Aided,480,Navi Mumbai,Info Tech.,92.04
76,3189,"Bharati Vidyapeeth College of Engineering, Navi Mumbai",Un-Aided,480,Navi Mumbai,ETRX & Tel. Comm.,74.74
77,3190,"Terna Engineering College, Nerul, Navi Mumbai",Un-Aided,720,Navi Mumbai,Comp. Engg.,91.97
